SCOTLAND INTERNATIONAL FOOTBALLERS (1+ CAPS) WITH FIRST CAP AFTER NOVEMBER 5, 1995
Total: 232 players
================================================================================

 69. Peter Canero              |   1 caps |  0 goals | First: April 28, 2004  vs Denmark         | Last: April 28, 2004  vs Denmark
 70. Nigel Quashie             |  14 caps |  1 goals | First: May 27, 2004    vs Estonia         | Last: September 06, 2006 vs Lithuania
 71. Richard Hughes            |   5 caps |  0 goals | First: May 27, 2004    vs Estonia         | Last: August 17, 2005 vs Austria
 72. David McNamee             |   4 caps |  0 goals | First: May 27, 2004    vs Estonia         | Last: May 13, 2006    vs Japan
 73. Craig Gordon              |  81 caps |  0 goals | First: May 30, 2004    vs Trinidad and Tobago | Last: March 23, 2025  vs Greece
 74. Jamie McAllister          |   1 caps |  0 goals | First: May 30, 2004    vs Trinidad and Tobago | Last: May 30, 2004    vs Trinidad and Tobago
 75. David Marshall            |  47 caps |  0 goals | First: August 18, 2004 vs Hungary         | Last: June 22, 2021   vs Croatia
 76. Lee McCulloch             |  18 caps |  1 goals | First: October 13, 2004 vs Moldova         | Last: October 12, 2010 vs Spain
 77. Steven Hammell            |   1 caps |  0 goals | First: November 17, 2004 vs Sweden          | Last: November 17, 2004 vs Sweden
 78. Paul Hartley              |  25 caps |  1 goals | First: March 26, 2005  vs Italy           | Last: March 03, 2010  vs Czech Republic
 79. Derek Riordan             |   3 caps |  0 goals | First: August 17, 2005 vs Austria         | Last: November 14, 2009 vs Wales
 80. Craig Beattie             |   7 caps |  1 goals | First: September 03, 2005 vs Italy           | Last: October 17, 2007 vs Georgia
 81. Shaun Maloney             |  47 caps |  7 goals | First: October 08, 2005 vs Belarus         | Last: June 04, 2016   vs France
 82. Scott Brown               |  55 caps |  4 goals | First: November 12, 2005 vs United States   | Last: September 04, 2017 vs Malta
 83. Gary Teale                |  13 caps |  0 goals | First: March 01, 2006  vs Switzerland     | Last: April 01, 2009  vs Iceland
 84. Neil Alexander[note 1]    |   3 caps |  0 goals | First: March 01, 2006  vs Switzerland     | Last: May 13, 2006    vs Japan
 85. Kris Boyd                 |  18 caps |  7 goals | First: May 11, 2006    vs Bulgaria        | Last: September 07, 2010 vs Liechtenstein
 86. Chris Burke               |   7 caps |  2 goals | First: May 11, 2006    vs Bulgaria        | Last: March 05, 2014  vs Poland
 87. Lee Miller                |   3 caps |  0 goals | First: May 13, 2006    vs Japan           | Last: October 10, 2009 vs Japan
 88. Stephen McManus           |  26 caps |  2 goals | First: October 11, 2006 vs Ukraine         | Last: October 12, 2010 vs Spain
 89. Robbie Neilson            |   1 caps |  0 goals | First: October 11, 2006 vs Ukraine         | Last: October 11, 2006 vs Ukraine
 90. Charlie Adam              |  26 caps |  0 goals | First: May 30, 2007    vs Austria         | Last: June 05, 2015   vs Qatar
 91. Alan Hutton               |  50 caps |  0 goals | First: May 30, 2007    vs Austria         | Last: March 24, 2016  vs Czech Republic
 92. Allan McGregor            |  42 caps |  0 goals | First: May 30, 2007    vs Austria         | Last: November 20, 2018 vs Israel
 93. Steven Naismith           |  51 caps | 10 goals | First: June 06, 2007   vs Faroe Islands   | Last: November 19, 2019 vs Kazakhstan
 94. Barry Robson              |  17 caps |  0 goals | First: August 22, 2007 vs South Africa    | Last: February 29, 2012 vs Slovenia
 95. Jay McEveley              |   3 caps |  0 goals | First: August 22, 2007 vs South Africa    | Last: March 26, 2008  vs Croatia
 96. Steven Fletcher           |  33 caps | 10 goals | First: March 26, 2008  vs Croatia         | Last: November 20, 2018 vs Israel
 97. Christophe Berra          |  41 caps |  4 goals | First: May 30, 2008    vs Czech Republic  | Last: November 09, 2017 vs Netherlands
 98. Ross McCormack            |  13 caps |  2 goals | First: May 30, 2008    vs Czech Republic  | Last: May 29, 2016    vs Italy
 99. James Morrison            |  46 caps |  3 goals | First: May 30, 2008    vs Czech Republic  | Last: October 05, 2017 vs Slovakia
100. David Clarkson            |   2 caps |  1 goals | First: May 30, 2008    vs Czech Republic  | Last: November 19, 2008 vs Argentina
101. Kris Commons              |  12 caps |  2 goals | First: August 20, 2008 vs Northern Ireland | Last: February 06, 2013 vs Estonia
102. Kevin Thomson             |   3 caps |  0 goals | First: August 20, 2008 vs Northern Ireland | Last: August 11, 2010 vs Sweden
103. Darren Barr               |   1 caps |  0 goals | First: August 20, 2008 vs Northern Ireland | Last: August 20, 2008 vs Northern Ireland
104. Kirk Broadfoot            |   4 caps |  1 goals | First: September 10, 2008 vs Iceland         | Last: August 11, 2010 vs Sweden
105. Chris Iwelumo             |   4 caps |  0 goals | First: October 11, 2008 vs Norway          | Last: October 08, 2010 vs Czech Republic
106. Scott Robertson           |   2 caps |  0 goals | First: November 19, 2008 vs Argentina       | Last: August 11, 2010 vs Sweden
107. Steven Whittaker          |  31 caps |  0 goals | First: August 12, 2009 vs Norway          | Last: March 29, 2016  vs Denmark
108. Don Cowie                 |  10 caps |  0 goals | First: October 10, 2009 vs Japan           | Last: May 26, 2012    vs United States
109. Graham Dorrans            |  12 caps |  0 goals | First: October 10, 2009 vs Japan           | Last: October 11, 2015 vs Gibraltar
110. Lee Wallace               |  10 caps |  0 goals | First: October 10, 2009 vs Japan           | Last: March 22, 2017  vs Canada
111. Craig Conway              |   7 caps |  0 goals | First: October 10, 2009 vs Japan           | Last: November 19, 2013 vs Norway
112. Stephen Hughes            |   1 caps |  0 goals | First: October 10, 2009 vs Japan           | Last: October 10, 2009 vs Japan
113. Ross Wallace              |   1 caps |  0 goals | First: October 10, 2009 vs Japan           | Last: October 10, 2009 vs Japan
114. Danny Fox                 |   4 caps |  0 goals | First: November 14, 2009 vs Wales           | Last: October 16, 2012 vs Belgium
115. Garry Kenneth             |   2 caps |  0 goals | First: August 11, 2010 vs Sweden          | Last: November 16, 2010 vs Faroe Islands
116. Jamie Mackie              |   9 caps |  2 goals | First: October 08, 2010 vs Czech Republic  | Last: October 16, 2012 vs Belgium
117. Phil Bardsley             |  13 caps |  0 goals | First: October 12, 2010 vs Spain           | Last: March 05, 2014  vs Poland
118. Barry Bannan              |  27 caps |  0 goals | First: November 16, 2010 vs Faroe Islands   | Last: October 08, 2017 vs Slovenia
119. James McArthur            |  32 caps |  4 goals | First: November 16, 2010 vs Faroe Islands   | Last: October 08, 2017 vs Slovenia
120. Danny Wilson              |   5 caps |  1 goals | First: November 16, 2010 vs Faroe Islands   | Last: September 03, 2011 vs Czech Republic
121. Craig Bryson              |   3 caps |  0 goals | First: November 16, 2010 vs Faroe Islands   | Last: May 29, 2016    vs Italy
122. David Goodwillie          |   3 caps |  1 goals | First: November 16, 2010 vs Faroe Islands   | Last: October 11, 2011 vs Spain
123. Cammy Bell                |   1 caps |  0 goals | First: November 16, 2010 vs Faroe Islands   | Last: November 16, 2010 vs Faroe Islands
124. Steven Saunders           |   1 caps |  0 goals | First: November 16, 2010 vs Faroe Islands   | Last: November 16, 2010 vs Faroe Islands
125. Robert Snodgrass          |  28 caps |  7 goals | First: February 09, 2011 vs Northern Ireland | Last: October 10, 2019 vs Russia
